Adana;Akdeniz Bölgesi
Adýyaman;Güneydoðu Anadolu Bölgesi
Afyonkarahisar;Ege Bölgesi
Aðrý;Doðu Anadolu Bölgesi
Amasya;Karadeniz Bölgesi
Ankara;Ýç Anadolu Bölgesi
Antalya;Akdeniz Bölgesi
Artvin;Karadeniz Bölgesi
Aydýn;Ege Bölgesi
Balýkesir;Marmara Bölgesi
Bilecik;Marmara Bölgesi
Bingöl;Doðu Anadolu Bölgesi
Bitlis;Doðu Anadolu Bölgesi
Bolu;Karadeniz Bölgesi
Burdur;Akdeniz Bölgesi
Bursa;Marmara Bölgesi
Çanakkale;Marmara Bölgesi
Çankýrý;Ýç Anadolu Bölgesi
Çorum;Karadeniz Bölgesi
Denizli;Ege Bölgesi
Diyarbakýr;Güneydoðu Anadolu Bölgesi
Edirne;Marmara Bölgesi
Elazýð;Doðu Anadolu Bölgesi
Erzincan;Doðu Anadolu Bölgesi
Erzurum;Doðu Anadolu Bölgesi
Eskiþehir;Ýç Anadolu Bölgesi
Gaziantep;Güneydoðu Anadolu Bölgesi
Giresun;Karadeniz Bölgesi
Gümüþhane;Karadeniz Bölgesi
Hakkari;Doðu Anadolu Bölgesi
Hatay;Akdeniz Bölgesi
Isparta;Akdeniz Bölgesi
Mersin;Akdeniz Bölgesi
Ýstanbul;Marmara Bölgesi
Ýzmir;Ege Bölgesi
Kars;Doðu Anadolu Bölgesi
Kastamonu;Karadeniz Bölgesi
Kayseri;Ýç Anadolu Bölgesi
Kýrklareli;Marmara Bölgesi
Kýrþehir;Ýç Anadolu Bölgesi
Kocaeli;Marmara Bölgesi
Konya;Ýç Anadolu Bölgesi
Kütahya;Ege Bölgesi
Malatya;Doðu Anadolu Bölgesi
Manisa;Ege Bölgesi
Kahramanmaraþ;Akdeniz Bölgesi
Mardin;Güneydoðu Anadolu Bölgesi
Muðla;Ege Bölgesi
Muþ;Doðu Anadolu Bölgesi
Nevþehir;Ýç Anadolu Bölgesi
Niðde;Ýç Anadolu Bölgesi
Ordu;Karadeniz Bölgesi
Rize;Karadeniz Bölgesi
Sakarya;Marmara Bölgesi
Samsun;Karadeniz Bölgesi
Siirt;Güneydoðu Anadolu Bölgesi
Sinop;Karadeniz Bölgesi
Sivas;Ýç Anadolu Bölgesi
Tekirdað;Marmara Bölgesi
Tokat;Karadeniz Bölgesi
Trabzon;Karadeniz Bölgesi
Tunceli;Doðu Anadolu Bölgesi
Þanlýurfa;Güneydoðu Anadolu Bölgesi
Uþak;Ege Bölgesi
Van;Doðu Anadolu Bölgesi
Yozgat;Ýç Anadolu Bölgesi
Zonguldak;Karadeniz Bölgesi
Aksaray;Ýç Anadolu Bölgesi
Bayburt;Karadeniz Bölgesi
Karaman;Ýç Anadolu Bölgesi
Kýrýkkale;Ýç Anadolu Bölgesi
Batman;Güneydoðu Anadolu Bölgesi
Þýrnak;Güneydoðu Anadolu Bölgesi
Bartýn;Karadeniz Bölgesi
Ardahan;Doðu Anadolu Bölgesi
Iðdýr;Doðu Anadolu Bölgesi
Yalova;Marmara Bölgesi
Karabük;Karadeniz Bölgesi
Kilis;Güneydoðu Anadolu Bölgesi
Osmaniye;Akdeniz Bölgesi
Düzce;Karadeniz Bölgesi
